NAME,CATEGORY,RATING,PRICE,REVIEW,STREET,CITY,PHONE
Tawakal Halal Cafe,African,5.0,$$,102,389 Maverick St,Boston,6174185890
Hong Kong Eatery,Cantonese,3.5,$,586,79 Harrison Ave,Boston,6174230838
Café Susu by Suitsupply,Coffee & Tea,4.5,,80,240A Newbury St,Boston,6172497821
Publico Street Bistro & Garden,American (New),4.5,$$,194,11 Dorchester St,Boston,6176225700
"Pastoral - Artisan Pizza, Kitchen & Bar",Pizza,3.5,$$,453,345 Congress St,Boston,6173450005
Rabia's,Italian,3.5,$$,642,73 Salem St,Boston,6172276637
Lucia Ristorante,Italian,3.5,$$,544,415 Hanover St,Boston,6173672353
South Street Diner,Diners,3.5,$$,773,178 Kneeland St,Boston,6173500028
Morton's The Steakhouse,Steakhouses,4.0,$$$$,364,2 Seaport Ln,Boston,6175260410
Boston Kitchen Pizza,Pizza,4.0,$,243,1 Stuart St,Boston,6174820085
Tatte Bakery & Cafe,Bakeries,4.0,$$,563,318 Third St,Cambridge,6173544200
Little Donkey,Tapas/Small Plates,4.0,$$,797,505 Massachusetts Ave,Cambridge,6179451008
Nud Pob Thai Cuisine,Thai,4.0,$,355,738 Commonwealth Ave,Boston,6172329992
Blaze Pizza,Salad,4.0,$,250,1282 Boylston St,Boston,6174205200
Al's South Street Cafe,Sandwiches,4.0,$,208,179 Essex St,Boston,6173301002
Tresca,Italian,4.0,$$$,378,233 Hanover St,Boston,6177428240
Select Oyster Bar,Seafood,4.0,$$$,367,50 Gloucester St,Boston,8572398064
Parla,Italian,4.0,$$,343,230 Hanover St,Boston,6173672824
Dumpling Cafe,Taiwanese,3.0,$$,846,695 Washington St,Boston,6173388858
Cafe Landwer,Cafes,4.0,$$,262,900 Beacon St,Boston,8577534035
City of Boston,Local Flavor,4.0,,147,,Boston,
Rinas Pizzeria & Cafe,Italian,4.5,$,196,371 Hanover St,Boston,6174565700
Florina Pizzeria & Paninoteca,Pizza,4.5,$$,111,16 Derne St,Boston,6179364494
Chilacates Mexican Street Food,Mexican,4.5,$$,515,224 Amory St,Jamaica Plain,6175226000
The Green Dragon Tavern,Pubs,3.5,$$,507,11 Marshall St,Boston,6173670055
Thornton's,Breakfast & Brunch,3.5,$$,530,150 Huntington Ave,Boston,6172676336
Muqueca Restaurant,Latin American,4.0,$$,638,1008 Cambridge St,Cambridge,6173543296
Genki Ya - Boston,Sushi Bars,3.5,$$,496,232 Tremont St,Boston,6173388686
Domenic's,Italian,4.5,$$,160,54 Salem St,Boston,6179826142
The Druid,Irish Pub,4.5,$$,563,1357 Cambridge St,Cambridge,6174970965
Cafe 26,Coffee & Tea,4.0,$,250,26 Temple Pl,Boston,6172922626
Japonaise Bakery and Cafe,Bakeries,4.0,$,460,1020 Beacon St,Brookline,6175667730
The Neighborhood Restaurant & Bakery,Bakeries,4.0,$$,789,25 Bow St,Somerville,6176239710
Gyu-Kaku Japanese BBQ,Japanese,4.0,$$,796,1002 Beacon St,Brookline,6172646190
UNI,Sushi Bars,3.5,$$$$,455,370 Commonwealth Ave,Boston,6175367200
Fin's Sushi and Grill,Sushi Bars,4.0,$$,370,636 Beacon St,Boston,6172678888
Maria's Taqueria,Mexican,4.0,$,301,226 Tremont St,Boston,6173577399
Monica's Trattoria,Italian,3.5,$$$,512,67 Prince St,Boston,6177205472
Legal Sea Foods,Seafood,3.5,$$$,376,558 Washington St,Boston,6176928888
Petit Robert Bistro,French,3.5,$$,428,480 Columbus Ave,Boston,6178670600
Great Taste Bakery & Restaurant,Bakeries,3.5,$,395,63 Beach St,Boston,6174268899
Trade,Mediterranean,3.5,$$$,547,540 Atlantic Ave,Boston,6174511234
Egg Puffs,Desserts,4.0,$,182,42 Beach St,Boston,
Christina's Homemade Ice Cream,Ice Cream & Frozen Yogurt,4.0,$,759,1255 Cambridge St,Cambridge,6174927021
Legal Sea Foods,Seafood,3.5,$$,457,1 Harborside Dr,Boston,6175682811
Lucca Back Bay,Italian,4.0,$$$,343,116 Huntington Ave,Boston,6172472400
wagamama - faneuil hall,Asian Fusion,3.5,$$,714,1 S Market St,Boston,6177429242
Alden & Harlow,American (Traditional),4.0,$$$,1282,40 Brattle St,Cambridge,6178642100
Sweet Tooth,Bakeries,4.0,$$,242,371 W Broadway,Boston,6172682555
Figaro's,Delis,4.5,$,152,105 Beach St,Boston,6174262121
The Avenue,American (Traditional),4.0,$,377,1249 Commonwealth Ave,Boston,6179033110
BerryLine,Ice Cream & Frozen Yogurt,4.5,$,603,3 Arrow St,Cambridge,6178683500
Hopewell Bar & Kitchen,Bars,4.0,$$,237,1277 Commonwealth Ave,Boston,6172088925
Woody's Grill and Tap,Bars,4.0,$$,287,58 Hemenway St,Boston,6173759663
Ristorante Saraceno,Italian,3.5,$$,486,286 Hanover St,Boston,6172275888
Zen Japanese Grill & Sushi Bar,Japanese,4.0,$$,308,21A Beacon St,Boston,6173711230
Asta,American (New),4.0,$$$$,186,47 Massachusetts Ave,Boston,6175859575
Harvard Gardens,Bars,3.5,$$,444,316 Cambridge St,Boston,6175232727
Coco Leaf on Newbury,Bubble Tea,4.5,$$,104,303 Newbury St,Boston,8579911719
Legal Sea Foods,Seafood,3.5,$$$,566,100 Huntington Ave,Boston,6172667775
Mi Pueblito Restaurant,Mexican,4.5,$$,185,333 Border St,Boston,6175693787
Charlie's Sandwich Shoppe,Sandwiches,4.0,$$,309,429 Columbus Ave,Boston,6175367669
Tatte Bakery & Cafe,Bakeries,4.0,$$,541,1003 Beacon St,Brookline,6172322200
Bricco Salumeria and Pasta Shoppe,Grocery,4.5,$$,106,11 Board Alley,Boston,6172489629
Pellino's Ristorante,Italian,4.0,$$,328,2 Prince St,Boston,6172277300
Falafel King,Middle Eastern,4.0,$,236,260 Washington St,Boston,6172276400
Double Chin,Asian Fusion,3.5,$$,501,86 Harrison Ave,Boston,6174820682
Basho Japanese Brasserie,Japanese,3.5,$$,531,1338 Boylston St,Boston,6172621338
The Similans,Thai,4.0,$$,528,145 1st St,Cambridge,6174916999
George Howell Coffee,Coffee & Tea,4.0,$$,195,505 Washington St,Boston,8579570217
Vejigantes,Puerto Rican,3.5,$$,470,57 W Dedham St,Boston,6172479249
Ristorante Euno,Italian,4.0,$$$,276,119 Salem St,Boston,6175739406
Happy Lamb Hot Pot,Hot Pot,4.0,$$,193,693 Washington St,Boston,8572771000
Strega Italiano - Seaport,Italian,3.5,$$$,580,One Marina Park Dr,Boston,6173453992
Castle Island Beach,Beaches,4.5,,133,2010 William J Day Blvd,Boston,
Worden Hall,American (New),4.0,$$,347,22 W Broadway,Boston,6177524206
Fugakyu Japanese Cuisine,Sushi Bars,4.0,$$,1226,1280 Beacon St,Brookline,6177341268
Hot Pot Buffet,Chinese,3.5,$$,584,70 Beach St,Boston,6173380808
Blue Dragon,Asian Fusion,3.5,$$,535,324 A St,Boston,6173388585
Legal Sea Foods,Seafood,3.5,,367,1 Harborside Dr,Boston,6175682800
Audubon Boston,American (Traditional),4.0,$$,192,838 Beacon St,Boston,6174211910
The Florentine Cafe,Italian,3.5,$$,503,333 Hanover St,Boston,6172271777
North Square Oyster,Seafood,4.0,$$$,195,5 N Sq,Boston,6178294975
Banyan Bar + Refuge,Asian Fusion,3.5,$$,358,553 Tremont St,Boston,6175564211
USS Constitution Museum,Museums,4.5,,289,,Charlestown,6174261812
Thai Basil Restaurant,Thai,3.5,$$,469,132 Newbury St,Boston,6175780089
The Institute of Contemporary Art/Boston,Art Museums,3.5,,392,25 Harbor Shore Dr,Boston,6174783100
Raising Cane's Chicken Fingers,Fast Food,4.0,$,300,949 Commonwealth Ave,Boston,6173585932
Casa Romero,Mexican,3.5,$$,535,30 Gloucester St,Boston,6175364341
Granary Tavern,American (New),3.5,$$,631,170 Milk St,Boston,6174497110
Carlo's Cucina Italiana,Italian,4.5,$$,698,131 Brighton Ave,Allston,6172549759
Pita Thyme,Lebanese,4.5,$,133,102 Water St,Boston,6177427482
The Corner Pub,Dive Bars,4.5,$,133,162 Lincoln St,Boston,6175427080
Ristorante Fiore,Italian,3.5,$$$,629,250 Hanover St,Boston,6173711176
Crave Chinatown ,Korean,3.0,$$,619,75 Kneeland St,Boston,6173380188
Amrheins,American (New),3.5,$$,436,80 W Broadway,Boston,6172686189
Parziale's Bakery,Bakeries,4.5,$,105,80 Prince St,Boston,6175236368
163 Vietnamese Sandwiches & Bubble Tea,Vietnamese,3.5,$,335,66 Harrison Ave,Boston,6175427903
City Bar,American (New),4.0,$$$,267,65 Exeter St,Boston,6179334800
Bricco Panetteria,Bakeries,4.5,$,118,11 Board Alley,Boston,6172489859
Roy's Cold Cuts,Delis,4.5,$,98,198 Marion St,Boston,6175679760
Boston Kebab House,Turkish,4.0,$,215,7 Liberty Sq,Boston,6172276900
Strega Italiano - Back Bay,American (Traditional),3.5,$$$$,322,64 Arlington St,Boston,6174565300
Zo Greek,Greek,4.5,$,117,92 State St,Boston,
East Side Bar & Grille,Italian,4.5,$$,361,561 Cambridge St,Cambridge,6176613278
Ball Square Cafe,Breakfast & Brunch,4.5,$$,1082,708 Broadway,Somerville,6176232233
haley.henry wine bar,Wine Bars,4.5,$$$,141,45 Province St,Boston,6172086000
Yume Ga Arukara,Japanese,4.5,$$,441,1815 Massachusetts Ave,Cambridge,
Quattro,Pizza,3.5,$$,417,264 Hanover St,Boston,6177200444
Brownstone,Bars,3.5,$$,377,111 Dartmouth St,Boston,6178674142
Harry's Cheese and Cold Cuts,Delis,5.0,$,57,98 Blackstone St,Boston,9782704558
Fox And The Knife,Wine Bars,4.0,$$$,193,28 W Broadway,Boston,6177668630
Bacco,Italian,3.5,$$,347,107 Salem St,Boston,6176240454
Stanza Dei Sigari,Lounges,4.0,$$,301,292 Hanover St,Boston,6172270295
The Smoke Shop BBQ - Seaport,Southern,4.0,$$,254,343 Congress St,Boston,6172617427
backbar,Cocktail Bars,4.5,$$,382,7 Sanborn Ct,Somerville,6177180249
3 Little Figs,Coffee & Tea,4.5,$$,619,278 Highland Ave,Somerville,6176233447
Cafe Sushi,Sushi Bars,4.0,$$,742,1105 Massachusetts Ave,Cambridge,6174920434
Area Four - Boston,Bars,4.0,$$,207,264 E Berkeley St,Boston,8573174805
Courtyard Tea Room,Tea Rooms,4.0,$$$,156,700 Boylston St,Boston,6178592251
Evergreen Eatery,Breakfast & Brunch,4.5,$$,103,154 Green St,Boston,6174779573
New Jumbo Seafood Restaurant,Seafood,3.5,$$,337,5 Hudson St,Boston,6175422823
Bon Me,Vietnamese,3.5,$$,318,,Boston,6179899980
The Tam,Dive Bars,3.5,$,353,222 Tremont St,Boston,
Royaltea - Boston,Bubble Tea,4.0,,194,23B Tyler St,Boston,7814009047
Paradise Rock Club,Bars,3.5,$$,370,967 Commonwealth Ave,Boston,6175628800
JJ Foleys Cafe,Irish Pub,4.0,$$,214,117 E Berkeley St,Boston,6177289101
The Smoke Shop BBQ - Kendall Square,Southern,4.0,$$,595,1 Kendall Sq,Cambridge,6175777427
Smith & Wollensky,Steakhouses,3.5,$$$$,398,294 Congress St,Boston,6177782200
Carrie Nation Cocktail Club,American (Traditional),3.5,$$,344,11 Beacon St,Boston,6172273100
Thaitation,Thai,4.0,$$,320,129 Jersey St,Boston,6175859909
Tony & Elaine’s,Italian,4.5,$$,147,111 N Washington St,Boston,6175800321
The Well Coffee House,Coffee & Tea,4.5,$,71,2 S Station,Boston,8572562173
Union Park Pizza,Pizza,4.5,$,94,1405 Washington St,Boston,6178551100
New Saigon,Vietnamese,4.5,$,167,985 Bennington St,Boston,6175616500
Pita,Mediterranean,4.0,$,242,473 Albany St,Boston,6175562600
Dave's Fresh Pasta,Sandwiches,4.5,$$,794,81 Holland St,Somerville,6176230867
Emmet's Irish Pub & Restaurant,Pubs,4.0,$$,301,6 Beacon St,Boston,6177428565
Farmer Horse Coffee,Coffee & Tea,4.0,$,228,374 Massachusetts Ave,Boston,6179827183
Genki Ya - Brookline,Sushi Bars,4.0,$$,740,398 Harvard St,Brookline,6172773100
wagamama - prudential,Asian Fusion,3.5,$$,618,800 Boylston St,Boston,6177782344
Brookline Lunch,Diners,4.0,$,496,9 Brookline St,Cambridge,6173542983
Zia Gianna,Coffee & Tea,5.0,$$,74,1735-1741 Dorchester Ave,Boston,6174362368
Bastille Kitchen,Bars,4.0,$$$,284,49 Melcher St,Boston,6175568000
The Haven,Gastropubs,4.5,$$,527,2 Perkins St,Jamaica Plain,6175242836
Tatte Bakery & Cafe,Bakeries,4.0,$$,140,1352 Boylston St,Boston,6173661800
Tasty Pot,Hot Pot,4.0,$$,212,194 Harvard Ave,Boston,6172088833
Green Street,Bars,4.0,$$,695,280 Green St,Cambridge,6178761655
El Centro,Mexican,3.5,$$,362,472 Shawmut Ave,Boston,6172625708
Ali Baba,Turkish,4.0,$$,209,145 E Berkeley St,Boston,6174820654
The Warren Tavern,Bars,4.0,$$,482,2 Pleasant St,Charlestown,6172418142
Crudo,Japanese,4.0,$$$,275,78 Salem St,Boston,6173676500
Caffébene,Coffee & Tea,4.0,$,245,333 Massachusetts Ave,Boston,6179826688
Strega,Italian,3.5,$$$,537,379 Hanover St,Boston,6175238481
Teresa's Market,Mexican,4.5,$,92,571 Washington St,Boston,6172025074
Montien Thai Restaurant,Thai,3.5,$$,453,63 Stuart St,Boston,6173385600
Happy Lemon Boston,Coffee & Tea,4.0,$,160,417 Washington St,Boston,8573174715
Punjabi Dhaba,Indian,4.0,$,939,225 Hampshire St,Cambridge,6175478272
La Colombe Coffee,Coffee & Tea,4.5,$,97,745 Atlantic Ave,Boston,8573175340
Pete's Dockside,American (Traditional),4.5,$,117,12 Channel St,Boston,6174231110
Vinoteca di Monica,Italian,3.5,$$,415,143 Richmond St,Boston,6172270311
Sunset Cantina,Mexican,3.5,$$,632,916 Commonwealth Ave,Boston,6177318646
CAVA,Mediterranean,4.5,$$,132,1346 Boylston St,Boston,6172868872
Symphony Sushi,Japanese,3.5,$$,361,45 Gainsborough St,Boston,6172623888
Yard House,Bars,3.5,$$,816,126 Brookline Ave,Boston-Fenway,6172364083
Local 149,Bars,3.5,$$,432,149 P St,Boston,6172690900
Stillwater,Cocktail Bars,4.5,$$,103,120 Kingston St,Boston,6179363079
Caffe Paradiso,Desserts,4.0,$$,245,255 Hanover St,Boston,6177421768
Krasi,Mediterranean,4.5,,97,48 Gloucester St,Boston,6175360230
The Paris Creperie,Creperies,4.0,$$,839,278 Harvard St,Brookline,6172321770
Peach Farm,Chinese,3.0,$$,545,4 Tyler St,Boston,6174821116
El Peñol,Colombian,4.5,$$,126,54 Bennington St,Boston,6175690100
Cask'n Flagon,Sports Bars,3.5,$$,608,62 Brookline Ave,Boston,6175364840
Sweet Waffles + Boba,Bubble Tea,4.0,$,139,18 Hudson St,Boston,
Phinista,Creperies,5.0,,63,96 Peterborough St,Boston,6172627700
FoMu,Ice Cream & Frozen Yogurt,4.5,$,490,481 Cambridge St,Allston,6179033276
Shake Shack,Burgers,3.5,$$,401,234-236 Newbury St,Boston,6179335050
Thai Dish,Thai,4.5,$$,118,270 Babcock St,Boston,6177895999
Ho Yuen Bakery,Bakeries,4.0,$,164,54 Beach St,Boston,6174268320
Home.Stead Bakery & Cafe,Coffee & Tea,4.5,$,118,1448 Dorchester Ave,Boston,6175337585
Oakleaf Cakes,Bakeries,4.0,$$,223,12 Westland Ave,Boston,6172991504
Atwood's Tavern,Burgers,4.0,$$,386,877 Cambridge St,Cambridge,6178642792
The Cheesecake Factory - Boston,American (Traditional),3.0,$$,708,115 Huntington Ave,Boston,6173997777
New Sushi,Sushi Bars,4.0,$$,145,106 Cambridge St,Boston,8572770981
Dolce Vita Ristorante,Italian,3.5,$$$,431,221 Hanover St,Boston,6177200422
Chinatown Cafe,Chinese,4.0,$,191,262 Harrison Ave,Boston,6176959888
Pinocchios Pizza & Subs,Pizza,4.0,$,718,74 Winthrop St,Cambridge,6178764897
J Pace & Son,Grocery,4.0,$,155,1 Park Ln,Boston,8573664640
The Lawn On D,Venues & Event Spaces,4.0,,150,420 D St,Boston,8773933393
Mana Escondido Café,Spanish,4.5,$,91,68 Aguadilla St,Boston,6172660900
Fish Market Sushi Bar,Sushi Bars,4.0,$$,583,170 Brighton Ave,Allston,6177831268
Cambridge Brewing Company,Gastropubs,3.5,$$,792,1 Kendall Sq,Cambridge,6174941994
Hing Shing Pastry,Bakeries,4.0,$,136,67 Beach St,Boston,6174511162
Norman B Leventhal Park,Parks,5.0,,41,50 Federal St,Boston,6174231500
Anthony's Cafe,Italian,4.0,$,175,252 Commercial St,Boston,6177422987
Clover Food Lab,Sandwiches,4.5,$,114,360 Longwood Ave,Boston,
Mare,Seafood,3.5,$$$,301,223 Hanover St,Boston,6177236273
Sabroso Taqueria,Mexican,4.5,$,106,2 Oliver St,Boston,8579911015
Trina's Starlite Lounge,Lounges,4.0,$$,481,3 Beacon St,Somerville,6175760006
May's Cake House,Bakeries,4.5,$,94,223 Harrison Ave,Boston,6173500210
Rustico,Salad,4.0,$,163,85 Canal St,Boston,
All Star Sandwich Bar,Sandwiches,4.0,$$,667,1245 Cambridge St,Cambridge,6178683065
Southern Kin Cookhouse,Southern,4.0,$$,1130,500 Assembly Row,Somerville,6177645966
J.P. Licks,Ice Cream & Frozen Yogurt,4.0,$,208,150 Charles St,Boston,8572332771
Doughboy Donuts & Deli,Donuts,4.0,$,175,220 Dorchester Ave,Boston,6172698741
Coppersmith,American (New),3.5,$$,523,40 West 3rd St,Boston,6176583452
Banh Mi Ba Le,Vietnamese,4.0,$,421,1052 Dorchester Ave,Dorchester,6172657171
Rondo's Sub Shop,Sandwiches,4.5,$,110,134 W Broadway,Boston,6172690274
King and I,Thai,3.5,$$,339,145 Charles St,Boston,6172273320
Moon Flower House,Burgers,4.5,$$,121,110 Brighton Ave,Boston,6172541122
The Mission Bar & Grill,Bars,3.5,$$,337,724 Huntington Ave,Boston,6175661244
Solas Irish Pub,Pubs,3.5,$$,376,710 Boylston St,Boston,6179334803
Rosa Mexicano,Mexican,3.0,$$,703,155 Seaport Blvd,Boston,6174766122
Berkeley Perk Cafe,Sandwiches,4.0,$,155,69 Berkeley St,Boston,6174267375
Chart House,Seafood,3.0,$$$,699,60 Long Wharf,Boston,6172271576
Stoked Wood Fired Pizza,Food Trucks,4.5,$,72,,Boston,6178790707
Thornton's Fenway Grille,American (Traditional),3.5,$$,294,100 Peterborough St,Boston,6174210104
Taco Loco Mexican Grill,Mexican,4.5,$,486,46 Broadway,Somerville,6176253830
China Pearl Restaurant,Dim Sum,3.0,$$,572,9 Tyler St,Boston,6174264338
Seoul - Boston,Korean,3.5,$$,289,156 Cambridge St,Boston,6179736680
Charles River Bike Paths,Parks,4.5,,77,Storrow And Memorial Dr,Boston,
City Table,Bars,3.5,$$,294,65 Exeter St,Boston,6179334800
sweetgreen,Salad,4.0,$$,152,372 Congress St,Boston,8572637916
The Mad Monkfish,Sushi Bars,3.5,$$,806,524 Massachusetts Ave,Cambridge,6174412116
BONAPITA,Mediterranean,4.5,,98,75 Spring St,Boston,9782244029
Toasted Flats,Sandwiches,4.5,$,74,53 Chelsea St,Boston,8572648531
Coreanos Allston,Korean,4.5,$$,481,172 Brighton Ave,Allston,6172088822
Hojoko Boston,Japanese,3.5,$$,403,1271 Boylston St,Boston,6176700507
Barracuda Tavern,Bars,3.5,$$,287,15 Bosworth St,Boston,6174820301
Anthem Kitchen & Bar,American (New),3.5,$$,498,101 S Market St,Boston,6177205570
Saigon Hut,Vietnamese,4.0,$,171,305 Meridian St,Boston,6175671944
Porters Bar & Grill,American (Traditional),4.0,$$,249,173 Portland St,Boston,6177427678
Chilacates Mexican Street Food,Mexican,4.5,$,139,658 Centre St,Boston,6175224500
Burro Bar South End,Mexican,4.0,$$,145,1357 Washington St,Boston,6174269300
Mamaleh's Delicatessen,Delis,4.0,$$,452,15 Hampshire St,Cambridge,6179583354
Beantown Pub,Pubs,3.0,$$,636,100 Tremont St,Boston,6174260111
Caffè Nero,Cafes,4.0,$,124,368 Congress St,Boston,8572335385
Gather,American (New),3.5,$$,397,75 Northern Ave,Boston,6179827220
Temazcal Tequila Cantina,Mexican,3.0,$$,835,250 Northern Ave,Boston,6174393502
Oath Pizza - South Station,Pizza,4.0,$,127,700 Atlantic Ave,Boston,8573056222
La Colombe Coffee,Coffee & Tea,4.5,$$,52,29 Northern Ave,Boston,6175311940
Manoa Poke Shop,Poke,4.5,$$,348,300 Beacon St,Somerville,6179451042
Wai Wai Restaurant,Chinese,3.5,$,249,26 Oxford St,Boston,6173389833
Tres Gatos,Tapas Bars,4.0,$$$,498,470 Centre St,Jamaica Plain,6174774851
Victoria's Diner,Diners,3.5,$$,450,1024 Massachusetts Ave,Boston,6174425965
Dok Bua Thai Kitchen,Thai,4.0,$$,705,411 Harvard St,Brookline,6172322955
FiRE + iCE  Grill + Bar,American (Traditional),3.0,$$,746,205 Berkeley St,Boston,6174823473
OliToki,Korean,4.0,$,161,76 Brighton Ave,Boston,6172025038
Bunker Hill Monument,Landmarks & Historical Buildings,4.5,,191,43 Monument Sq,Charlestown,6172425641
The Merchant,American (New),3.5,$$,348,60 Franklin St,Boston,6174826060
The Publick House,Pubs,4.0,$$,1193,1648 Beacon St,Brookline,6172772880
Punjab Palace,Indian,4.0,$$,792,109 Brighton Ave,Allston,6172541500
Faneuil Hall,Landmarks & Historical Buildings,4.0,,107,0 Faneuil Hall Sq,Boston,6175231300
Mala Restaurant,Barbeque,3.5,$$,264,129 Brighton Ave,Boston,6172541839
Boloco,Mexican,4.0,$,220,176 Boylston St,Boston,6177786772
Sip Cafe,Cafes,4.0,$,168,0 Post Office Sq,Boston,6173383080
Artu,Italian,3.5,$$,387,6 Prince St,Boston,6177424336
Sakana,Sushi Bars,4.5,$$,200,983 Massachusetts Ave,Cambridge,6177144646
B.GOOD,Burgers,3.5,$,328,131 Dartmouth St,Boston,6174245252
Solid Ground Cafe,Coffee & Tea,5.0,,60,742 Huntington Ave,Boston,
Sunny Cafe,Sushi Bars,4.5,$,87,1000 Bennington St,Boston,8572562188
Emack & Bolio's,Ice Cream & Frozen Yogurt,3.5,$$,247,290 Newbury St,Boston,6175367127
Cuppacoffee,Coffee & Tea,4.5,$,108,1 Merrimac St,Boston,6172480011
Bristol Restaurant & Bar,American (New),3.5,$$$,283,200 Boylston St,Boston,8573055620
Doña Habana,Cuban,3.5,$$,326,811 Massachusetts Ave,Boston,6177080796
Shun's Kitchen,Japanese,4.0,$$,133,520 Columbus Ave,Boston,6174219588
Himalayan Kitchen,Indian,4.5,$$,213,40 Bow St,Somerville,6176239068
Ethiopian Cafe,Ethiopian,4.5,,58,377 Centre St,Boston,6173196982
Puritan & Company,American (New),4.0,$$$,472,1166 Cambridge St,Cambridge,6176156195
C Fruit Life,Desserts,4.0,$$,172,171 Brighton Ave,Boston,6172025799
Chicken and Rice Guys,Halal,4.0,$,154,280 Washington St,Boston,6174230490
Empire Asian Restaurant & Lounge,Lounges,3.0,$$$,544,1 Marina Park Dr,Boston,6172950001
Garlic 'n Lemons,Middle Eastern,4.0,$,608,133 Harvard Ave,Allston,6177838100
The Coast Cafe,Soul Food,4.0,$$,373,233 River St,Cambridge,6173547644
Bella Vista,Italian,3.5,$$,304,288 Hanover St,Boston,6173674999
Bottega di Capri,Italian,4.5,$$,335,41 Harvard St,Brookline,6177385333
Newbury Street,Landmarks & Historical Buildings,4.5,,91,10 Newbury St,Boston,
Beacon Hill Hotel & Bistro,American (New),3.5,$$,341,25 Charles St,Boston,6177237575
Giulia,Italian,4.5,$$$,460,1682 Massachusetts Ave,Cambridge,6174412800
Massimino's,Italian,3.5,$$,382,207 Endicott St,Boston,6175235959
Clover Food Lab,Sandwiches,4.0,$$,289,5 Cambridge Ctr,Cambridge,
EVOO Restaurant,American (New),3.5,$$$,420,350 3rd St,Cambridge,6176613866
Mariel,Cuban,4.0,,194,10 Post Office Square,Boston,6173338776
The Lansdowne Pub,Pubs,3.5,$$,370,9 Lansdowne St,Boston,6172471222
Honeycomb Cafe,Coffee & Tea,4.5,$,74,107-109 Savin Hill Ave,Boston,6172825400
American Provisions,Cheese Shops,4.5,$$$,161,613 E Broadway,South Boston,6172696100
Jim's Deli,Delis,4.5,$,619,371 Washington St,Brighton,6177872626
Liuyishou Hotpot,Chinese,4.0,$$$,204,702 Washington St,Boston,8572332971
Tavern In The Square,Sports Bars,3.5,$$,271,120 Beverly St,Boston,6172630404
Tatte Bakery & Cafe,Coffee & Tea,4.5,$$,90,200 Pier Four Blvd,Boston,6177657600
Tiki Rock,Tiki Bars,3.5,$$,386,2 Broad St,Boston,6176702222
Cutty's,Coffee & Tea,4.0,$,421,284 Washington St,Brookline,6175051844
Back Bay Sandwich,Sandwiches,4.0,$,140,31 St James Ave,Boston,6174511561
Sip Wine Bar And Kitchen,Wine Bars,3.5,$$,337,581 Washington St,Boston,6179560888
Kings Dining & Entertainment,Bowling,3.0,$$,514,50 Dalton St,Boston,6172662695
Tatte Bakery & Cafe,Breakfast & Brunch,4.0,$$,108,125 Summer St,Boston,6174889525
Stir,American (New),4.5,$$$$,43,102 Waltham St,Boston,6174237847
The Christian Science Plaza,Churches,4.5,,80,210 Massachusetts Ave,Boston,6174507330
Pammy's,Italian,4.5,$$$,283,928 Massachusetts Ave,Cambridge,6179451761
Rangzen Tibetan Place,Himalayan/Nepalese,4.0,$$,399,24 Pearl St,Cambridge,6173548881
Bar Lyon,Bars,4.5,,88,1750 Washington St,Boston,6179044020
The Quiet Few,"Beer, Wine & Spirits",5.0,,46,331 Sumner St,Boston,6175611061
Lone Star Taco Bar,Tacos,4.0,$$,333,635 Cambridge St,Cambridge,8572856179
Clover Food Lab,American (New),4.0,$$,833,1326 Massachusetts Ave,Cambridge,
Mr. Bartley's Gourmet Burgers,Burgers,3.5,$$,1252,1246 Massachusetts Ave,Cambridge,6173546559
Durty Nelly’s,Bars,3.5,$,228,108 Blackstone St,Boston,6177422090
Frenchie Wine Bistro,Wine Bars,4.0,$$$,212,560 Tremont St,Boston,8572335941
Machu Chicken,Peruvian,4.5,$$,303,25 Union Sq,Somerville,6176237972
Viva Burrito,Mexican,3.5,$,285,66 Staniford St,Boston,6175236390
Ducali Pizzeria & Bar,Pizza,3.5,$$,284,289 Causeway St,Boston,6177424144
Underdog Hot Chicken,Chicken Wings,4.5,,78,160 Brighton Ave,Boston,6172088133
OAK Long Bar + Kitchen,Bars,3.5,$$$,335,138 St. James Ave,Boston,6175857222
Sol Azteca,Mexican,3.5,$$,370,914 Beacon St,Boston,6172620909
Kung Fu Tea,Bubble Tea,4.0,$,215,334 Massachusetts Ave,Boston,6179363608
Brato Brewhouse and Kitchen,Breweries,4.5,$$,71,190 N Beacon St,Boston,6179033766
Mei Sum,Bakeries,4.0,$,149,36 Beach St,Boston,6173574050
Loyal Nine,American (Traditional),4.0,$$,436,660 Cambridge St,Cambridge,6179452576
Antonio's Cucina Italiana,Italian,3.5,$$,305,288 Cambridge St,Boston,6173673310
Ariana Restaurant,Afghan,4.5,$$,422,384 Western Ave,Brighton,6172088072
Ten Tables,American (New),4.0,$$$,650,597 Centre St,Jamaica Plain,6175248810
Upper Crust Pizzeria,Pizza,3.5,$,407,20 Charles St,Boston,6177239600
Yamato II,Japanese,3.0,$$,427,545 Boylston St,Boston,8572504473
T Anthony's Restaurant,Pizza,3.5,$,283,1016 Commonwealth Ave,Boston,6177347708
Bagelsaurus,Bagels,4.0,$$,644,1796 Massachusetts Ave,Cambridge,8572856103
Purple Shell,Sushi Bars,4.5,$$$,74,11 W Broadway,Boston,6179899982
Basta Pasta Trattoria,Italian,4.0,$$,454,319 Western Ave,Cambridge,6175766672
Parker's Restaurant,American (New),3.5,$$,276,60 School St,Boston,6177251600
